sep=,
TIME,LATITUDE (deg+-m),LONGITUDE (deg+-m),ALTITUDE (m+-m),TRACK (deg from true north+-deg),SPEED (m/s+-m/s),CLIMB (m/s+-m/s),MODE,SAT
+-nan,0.0+-nan,0.0+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,0
+-nan,0.0+-nan,0.0+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,0
+-nan,0.0+-nan,0.0+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,0
2016-05-20T08:05:58.000Z+-0.005,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,0
2016-05-20T08:06:00.000Z+-0.005,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,11
2016-05-20T08:06:01.000Z+-0.005,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,11
2016-05-20T08:06:02.000Z+-0.005,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,nan+-nan,1,11
2016-05-20T08:06:03.000Z+-0.005,41.12629+-14.721,-8.640751333+-31.937,73.3+-234.37,0.0+-nan,0.182+-nan,0.0+-nan,3,10
2016-05-20T08:06:04.000Z+-0.005,41.1262895+-14.721,-8.640742833+-31.937,72.7+-234.37,0.0+-nan,0.214+-nan,0.0+-nan,3,9
2016-05-20T08:06:05.000Z+-0.005,41.126289833+-14.721,-8.640739333+-31.937,72.4+-234.37,0.0+-nan,0.204+-nan,0.0+-nan,3,9
2016-05-20T08:06:06.000Z+-0.005,41.1262905+-14.721,-8.640738167+-31.937,72.4+-234.37,0.0+-nan,0.166+-nan,0.0+-nan,3,10
2016-05-20T08:06:07.000Z+-0.005,41.1262875+-14.721,-8.640737167+-31.937,74.5+-234.37,0.0+-nan,0.084+-nan,0.0+-nan,3,10
2016-05-20T08:06:08.000Z+-0.005,41.126286+-14.721,-8.640737167+-31.937,75.3+-234.37,0.0+-nan,0.017+-nan,0.0+-nan,3,10
2016-05-20T08:06:09.000Z+-0.005,41.126285833+-14.721,-8.640738167+-31.937,75.7+-234.37,0.0+-nan,0.024+-nan,0.0+-nan,3,10
2016-05-20T08:06:10.000Z+-0.005,41.1262845+-14.721,-8.640740167+-31.937,75.7+-234.37,0.0+-nan,0.296+-nan,0.0+-nan,3,10
