TIME,TEMPERATURE,PRESSURE
00:00:00,21.9,101103
00:00:02,21.9,101110
00:00:04,21.9,101099
00:00:06,21.9,101103
00:00:08,21.9,101105
00:00:10,21.9,101105
00:00:12,21.9,101104
00:00:14,22,101104
00:00:17,22,101109
00:00:19,22,101095
00:00:21,22,101106
00:00:23,22,101106
00:00:25,22,101100
08:06:23,22,101102
08:06:25,22.1,101100
08:06:29,22.1,101096
08:06:38,22.1,101099
08:06:40,22.2,101108
08:06:42,22.2,101106
08:06:44,22.2,101106
08:06:46,22.2,101105
08:06:48,22.2,101108
08:06:50,22.2,101106
08:06:52,22.2,101100
08:06:54,22.3,101103
08:06:57,22.3,101107
08:06:59,22.3,101105
08:07:01,22.3,101104
08:07:03,22.3,101102
08:07:05,22.4,101102
08:07:07,22.4,101096
08:07:09,22.4,101107
08:07:11,22.4,101103
08:07:13,22.4,101113
08:07:15,22.5,101109
08:07:17,22.5,101110
08:07:19,22.5,101109
08:07:21,22.5,101106
08:07:23,22.5,101107
08:07:25,22.6,101102
08:07:27,22.6,101099
08:07:33,22.6,101107
08:07:35,22.7,101102
08:07:37,22.7,101105
08:07:39,22.7,101103
08:07:41,22.7,101106
08:07:43,22.8,101106
08:07:45,22.8,101103
08:07:47,22.8,101107
08:07:49,22.8,101114
08:07:51,22.9,101103
08:07:53,22.9,101106
08:07:55,22.9,101109
08:07:57,22.9,101104
08:08:01,23,101103
08:08:03,23,101107
08:08:05,23,101100
08:08:08,23,101106
08:08:10,23.1,101113
08:08:12,23.1,101110
08:08:14,23.1,101107
08:08:16,23.1,101106
08:08:18,23.1,101104
08:08:20,23.2,101106
08:08:22,23.2,101109
08:08:24,23.2,101105
08:08:26,23.3,101111
08:08:28,23.3,101105
08:08:30,23.3,101109
08:08:32,23.3,101106
08:08:34,23.4,101103
08:08:36,23.4,101111
08:08:38,23.4,101106
08:08:40,23.4,101111
08:08:43,23.5,101109
08:08:45,23.5,101108
08:08:47,23.5,101106
08:08:49,23.5,101104
08:08:52,23.6,101110
08:08:54,23.6,101107
08:08:56,23.6,101108
08:08:58,23.6,101105
08:09:00,23.7,101107
08:09:02,23.7,101106
08:09:04,23.7,101108
08:09:06,23.7,101113
08:09:06,23.8,101107
08:09:08,23.8,101111
08:09:10,23.8,101107
08:09:12,23.8,101108
08:09:14,23.9,101113
08:09:16,23.9,101103
08:09:18,23.9,101110
08:09:20,23.9,101106
08:09:22,24,101103
08:09:24,24,101103
08:09:26,24,101105
08:09:29,24,101106
08:09:31,24.1,101107
08:09:32,24.1,101106
08:09:35,24.1,101108
08:09:37,24.1,101107
08:09:39,24.2,101107
08:09:41,24.2,101109
08:09:43,24.2,101108
08:09:45,24.3,101100
08:09:47,24.3,101105
08:09:49,24.3,101108
08:09:51,24.3,101110
08:09:53,24.4,101108
08:09:55,24.4,101108
08:09:57,24.4,101112
08:09:59,24.4,101109
08:10:01,24.4,101107
08:10:03,24.5,101106
08:10:05,24.5,101111
08:10:07,24.5,101108
08:10:09,24.5,101108
08:10:11,24.6,101106
08:10:13,24.6,101104
08:10:15,24.6,101104
08:10:17,24.6,101107
08:10:19,24.7,101103
08:10:21,24.7,101110
08:10:23,24.7,101107
08:10:25,24.7,101108
08:10:27,24.8,101106
08:10:29,24.8,101103
08:10:31,24.8,101107
08:10:33,24.8,101101
08:10:35,24.9,101105
08:10:38,24.9,101112
08:10:40,24.9,101113
08:10:42,24.9,101104
08:10:44,24.9,101109
08:10:46,25,101111
08:10:48,25,101106
08:10:50,25,101102
08:10:52,25.1,101107
08:10:55,25.1,101109
08:10:57,25.1,101105
08:10:59,25.1,101112
08:11:01,25.1,101101
08:11:03,25.1,101116
08:11:05,25.2,101101
08:11:07,25.2,101106
08:11:09,25.2,101106
08:11:11,25.3,101103
08:11:15,25.3,101114
08:11:17,25.3,101110
08:11:19,25.3,101100
08:11:21,25.4,101110
08:11:23,25.4,101107
08:11:25,25.4,101106
